region,generation_ts,source,generation_mw
north,2025-01-01T00:00:00,solar,0.0
north,2025-01-01T00:00:00,wind,260.0
north,2025-01-01T00:00:00,hydro,589.2
north,2025-01-01T00:00:00,gas,3238.0
north,2025-01-01T00:00:00,nuclear,1019.2
centre,2025-01-01T00:00:00,solar,0.0
centre,2025-01-01T00:00:00,wind,53.5
centre,2025-01-01T00:00:00,hydro,602.7
centre,2025-01-01T00:00:00,gas,4431.9
centre,2025-01-01T00:00:00,nuclear,0.0
south,2025-01-01T00:00:00,solar,0.0
south,2025-01-01T00:00:00,wind,258.9
south,2025-01-01T00:00:00,hydro,615.2
south,2025-01-01T00:00:00,gas,4207.2
south,2025-01-01T00:00:00,nuclear,0.0
north,2025-01-01T01:00:00,solar,0.0
north,2025-01-01T01:00:00,wind,29.6
north,2025-01-01T01:00:00,hydro,613.2
north,2025-01-01T01:00:00,gas,3457.8
north,2025-01-01T01:00:00,nuclear,971.3
centre,2025-01-01T01:00:00,solar,0.0
centre,2025-01-01T01:00:00,wind,831.8
centre,2025-01-01T01:00:00,hydro,585.6
centre,2025-01-01T01:00:00,gas,3687.1
centre,2025-01-01T01:00:00,nuclear,0.0
south,2025-01-01T01:00:00,solar,0.0
south,2025-01-01T01:00:00,wind,728.2
south,2025-01-01T01:00:00,hydro,587.4
south,2025-01-01T01:00:00,gas,3618.9
south,2025-01-01T01:00:00,nuclear,0.0
north,2025-01-01T02:00:00,solar,0.0
north,2025-01-01T02:00:00,wind,62.7
north,2025-01-01T02:00:00,hydro,611.6
north,2025-01-01T02:00:00,gas,3159.1
north,2025-01-01T02:00:00,nuclear,1010.3
centre,2025-01-01T02:00:00,solar,0.0
centre,2025-01-01T02:00:00,wind,791.6
centre,2025-01-01T02:00:00,hydro,589.4
centre,2025-01-01T02:00:00,gas,3387.1
centre,2025-01-01T02:00:00,nuclear,0.0
south,2025-01-01T02:00:00,solar,0.0
south,2025-01-01T02:00:00,wind,540.3
south,2025-01-01T02:00:00,hydro,598.1
south,2025-01-01T02:00:00,gas,3647.7
south,2025-01-01T02:00:00,nuclear,0.0
north,2025-01-01T03:00:00,solar,0.0
north,2025-01-01T03:00:00,wind,190.9
north,2025-01-01T03:00:00,hydro,615.6
north,2025-01-01T03:00:00,gas,2753.9
north,2025-01-01T03:00:00,nuclear,971.1
centre,2025-01-01T03:00:00,solar,0.0
centre,2025-01-01T03:00:00,wind,277.6
centre,2025-01-01T03:00:00,hydro,592.0
centre,2025-01-01T03:00:00,gas,3609.1
centre,2025-01-01T03:00:00,nuclear,0.0
south,2025-01-01T03:00:00,solar,0.0
south,2025-01-01T03:00:00,wind,0.0
south,2025-01-01T03:00:00,hydro,593.4
south,2025-01-01T03:00:00,gas,3956.1
south,2025-01-01T03:00:00,nuclear,0.0
north,2025-01-01T04:00:00,solar,0.0
north,2025-01-01T04:00:00,wind,249.8
north,2025-01-01T04:00:00,hydro,608.2
north,2025-01-01T04:00:00,gas,2305.3
north,2025-01-01T04:00:00,nuclear,1028.3
centre,2025-01-01T04:00:00,solar,0.0
centre,2025-01-01T04:00:00,wind,0.8
centre,2025-01-01T04:00:00,hydro,605.2
centre,2025-01-01T04:00:00,gas,3503.9
centre,2025-01-01T04:00:00,nuclear,0.0
south,2025-01-01T04:00:00,solar,0.0
south,2025-01-01T04:00:00,wind,123.1
south,2025-01-01T04:00:00,hydro,587.9
south,2025-01-01T04:00:00,gas,3450.9
south,2025-01-01T04:00:00,nuclear,0.0
north,2025-01-01T05:00:00,solar,0.0
north,2025-01-01T05:00:00,wind,2.9
north,2025-01-01T05:00:00,hydro,615.9
north,2025-01-01T05:00:00,gas,2316.3
north,2025-01-01T05:00:00,nuclear,1016.9
centre,2025-01-01T05:00:00,solar,0.0
centre,2025-01-01T05:00:00,wind,517.2
centre,2025-01-01T05:00:00,hydro,601.6
centre,2025-01-01T05:00:00,gas,2864.9
centre,2025-01-01T05:00:00,nuclear,0.0
south,2025-01-01T05:00:00,solar,0.0
south,2025-01-01T05:00:00,wind,343.2
south,2025-01-01T05:00:00,hydro,608.5
south,2025-01-01T05:00:00,gas,2864.1
south,2025-01-01T05:00:00,nuclear,0.0
north,2025-01-01T06:00:00,solar,0.0
north,2025-01-01T06:00:00,wind,140.0
north,2025-01-01T06:00:00,hydro,614.5
north,2025-01-01T06:00:00,gas,2050.9
north,2025-01-01T06:00:00,nuclear,1024.6
centre,2025-01-01T06:00:00,solar,0.0
centre,2025-01-01T06:00:00,wind,523.9
centre,2025-01-01T06:00:00,hydro,589.6
centre,2025-01-01T06:00:00,gas,2664.7
centre,2025-01-01T06:00:00,nuclear,0.0
south,2025-01-01T06:00:00,solar,0.0
south,2025-01-01T06:00:00,wind,590.7
south,2025-01-01T06:00:00,hydro,616.6
south,2025-01-01T06:00:00,gas,2615.9
south,2025-01-01T06:00:00,nuclear,0.0
north,2025-01-01T07:00:00,solar,297.1
north,2025-01-01T07:00:00,wind,598.4
north,2025-01-01T07:00:00,hydro,593.2
north,2025-01-01T07:00:00,gas,1397.6
north,2025-01-01T07:00:00,nuclear,1019.9
centre,2025-01-01T07:00:00,solar,207.5
centre,2025-01-01T07:00:00,wind,338.9
centre,2025-01-01T07:00:00,hydro,597.1
centre,2025-01-01T07:00:00,gas,2673.5
centre,2025-01-01T07:00:00,nuclear,0.0
south,2025-01-01T07:00:00,solar,239.9
south,2025-01-01T07:00:00,wind,422.6
south,2025-01-01T07:00:00,hydro,614.5
south,2025-01-01T07:00:00,gas,2554.9
south,2025-01-01T07:00:00,nuclear,0.0
north,2025-01-01T08:00:00,solar,579.8
north,2025-01-01T08:00:00,wind,154.9
north,2025-01-01T08:00:00,hydro,606.4
north,2025-01-01T08:00:00,gas,1835.8
north,2025-01-01T08:00:00,nuclear,989.4
centre,2025-01-01T08:00:00,solar,387.0
centre,2025-01-01T08:00:00,wind,19.5
centre,2025-01-01T08:00:00,hydro,601.4
centre,2025-01-01T08:00:00,gas,3100.7
centre,2025-01-01T08:00:00,nuclear,0.0
south,2025-01-01T08:00:00,solar,446.9
south,2025-01-01T08:00:00,wind,5.3
south,2025-01-01T08:00:00,hydro,617.8
south,2025-01-01T08:00:00,gas,3102.1
south,2025-01-01T08:00:00,nuclear,0.0
north,2025-01-01T09:00:00,solar,834.7
north,2025-01-01T09:00:00,wind,191.4
north,2025-01-01T09:00:00,hydro,607.6
north,2025-01-01T09:00:00,gas,1898.6
north,2025-01-01T09:00:00,nuclear,1012.2
centre,2025-01-01T09:00:00,solar,543.9
centre,2025-01-01T09:00:00,wind,466.2
centre,2025-01-01T09:00:00,hydro,602.9
centre,2025-01-01T09:00:00,gas,2941.4
centre,2025-01-01T09:00:00,nuclear,0.0
south,2025-01-01T09:00:00,solar,647.2
south,2025-01-01T09:00:00,wind,109.9
south,2025-01-01T09:00:00,hydro,616.8
south,2025-01-01T09:00:00,gas,3046.0
south,2025-01-01T09:00:00,nuclear,0.0
north,2025-01-01T10:00:00,solar,967.6
north,2025-01-01T10:00:00,wind,205.2
north,2025-01-01T10:00:00,hydro,588.4
north,2025-01-01T10:00:00,gas,1964.2
north,2025-01-01T10:00:00,nuclear,1016.6
centre,2025-01-01T10:00:00,solar,675.0
centre,2025-01-01T10:00:00,wind,62.9
centre,2025-01-01T10:00:00,hydro,596.8
centre,2025-01-01T10:00:00,gas,3515.7
centre,2025-01-01T10:00:00,nuclear,0.0
south,2025-01-01T10:00:00,solar,750.2
south,2025-01-01T10:00:00,wind,200.2
south,2025-01-01T10:00:00,hydro,585.6
south,2025-01-01T10:00:00,gas,3262.4
south,2025-01-01T10:00:00,nuclear,0.0
north,2025-01-01T11:00:00,solar,1058.5
north,2025-01-01T11:00:00,wind,86.3
north,2025-01-01T11:00:00,hydro,591.9
north,2025-01-01T11:00:00,gas,2243.7
north,2025-01-01T11:00:00,nuclear,1001.7
centre,2025-01-01T11:00:00,solar,801.4
centre,2025-01-01T11:00:00,wind,692.1
centre,2025-01-01T11:00:00,hydro,605.7
centre,2025-01-01T11:00:00,gas,2967.7
centre,2025-01-01T11:00:00,nuclear,0.0
south,2025-01-01T11:00:00,solar,864.5
south,2025-01-01T11:00:00,wind,337.3
