reading_id,site_id,reading_ts,kwh_consumed,kwh_exported,voltage_v,quality_flag
R000000001,S001,2025-01-01T00:00:00,0.443,0.000,226.5,OK
R000000002,S002,2025-01-01T00:00:00,1.598,0.000,231.5,OK
R000000003,S001,2025-01-01T01:00:00,0.424,0.000,233.7,OK
R000000004,S002,2025-01-01T01:00:00,1.848,0.000,227.1,OK
R000000005,S001,2025-01-01T02:00:00,0.472,0.000,227.1,OK
R000000006,S002,2025-01-01T02:00:00,1.825,0.000,234.7,OK
R000000007,S001,2025-01-01T03:00:00,0.501,0.000,228.5,OK
R000000008,S002,2025-01-01T03:00:00,1.793,0.000,232.1,OK
R000000009,S001,2025-01-01T04:00:00,0.426,0.000,231.1,OK
R000000010,S002,2025-01-01T04:00:00,1.733,0.000,227.6,OK
R000000011,S001,2025-01-01T05:00:00,0.600,0.000,229.3,OK
R000000012,S002,2025-01-01T05:00:00,1.932,0.000,229.2,OK
R000000013,S001,2025-01-01T06:00:00,0.722,0.000,236.6,OK
R000000014,S002,2025-01-01T06:00:00,1.770,0.000,230.1,OK
R000000015,S001,2025-01-01T07:00:00,1.221,0.000,230.2,OK
R000000016,S002,2025-01-01T07:00:00,1.539,0.000,226.4,OK
R000000017,S001,2025-01-01T08:00:00,1.225,0.000,229.7,OK
R000000018,S002,2025-01-01T08:00:00,5.721,0.000,231.8,OK
R000000019,S001,2025-01-01T09:00:00,1.062,0.000,236.5,OK
R000000020,S002,2025-01-01T09:00:00,6.401,0.000,230.5,OK
R000000021,S001,2025-01-01T10:00:00,0.733,0.000,232.5,OK
R000000022,S002,2025-01-01T10:00:00,6.299,0.000,232.0,OK
R000000023,S001,2025-01-01T11:00:00,0.468,0.000,227.5,OK
R000000024,S002,2025-01-01T11:00:00,5.812,0.000,231.7,OK
R000000025,S001,2025-01-01T12:00:00,0.406,0.000,228.6,OK
R000000026,S002,2025-01-01T12:00:00,5.852,0.000,230.9,OK
R000000027,S001,2025-01-01T13:00:00,0.332,0.000,231.3,OK
R000000028,S002,2025-01-01T13:00:00,5.628,0.000,233.4,OK
R000000029,S001,2025-01-01T14:00:00,0.384,0.000,230.5,OK
R000000030,S002,2025-01-01T14:00:00,5.694,0.000,231.6,OK
R000000031,S001,2025-01-01T15:00:00,0.419,0.000,234.5,OK
R000000032,S002,2025-01-01T15:00:00,5.726,0.000,232.5,OK
R000000033,S001,2025-01-01T16:00:00,0.598,0.000,231.4,OK
R000000034,S002,2025-01-01T16:00:00,5.817,0.000,230.7,OK
R000000035,S001,2025-01-01T17:00:00,0.841,0.000,234.7,OK
R000000036,S002,2025-01-01T17:00:00,5.958,0.000,230.7,OK
R000000037,S001,2025-01-01T18:00:00,1.429,0.000,237.6,OK
R000000038,S002,2025-01-01T18:00:00,5.534,0.000,229.9,OK
R000000039,S001,2025-01-01T19:00:00,1.415,0.000,232.7,OK
R000000040,S002,2025-01-01T19:00:00,1.363,0.000,233.1,OK
R000000041,S001,2025-01-01T20:00:00,1.419,0.000,230.8,OK
R000000042,S002,2025-01-01T20:00:00,1.558,0.000,230.6,OK
R000000043,S001,2025-01-01T21:00:00,1.063,0.000,232.8,OK
R000000044,S002,2025-01-01T21:00:00,1.704,0.000,228.9,OK
R000000045,S001,2025-01-01T22:00:00,0.618,0.000,228.8,OK
R000000046,S002,2025-01-01T22:00:00,1.438,0.000,225.5,OK
R000000047,S001,2025-01-01T23:00:00,0.546,0.000,230.2,OK
R000000048,S002,2025-01-01T23:00:00,1.664,0.000,229.4,OK
