region,price_ts,price_eur_mwh,market
north,2025-01-01T00:00:00,77.25,day_ahead
centre,2025-01-01T00:00:00,74.76,day_ahead
south,2025-01-01T00:00:00,75.44,day_ahead
north,2025-01-01T01:00:00,79.20,day_ahead
centre,2025-01-01T01:00:00,75.12,day_ahead
south,2025-01-01T01:00:00,69.29,day_ahead
north,2025-01-01T02:00:00,74.35,day_ahead
centre,2025-01-01T02:00:00,66.69,day_ahead
south,2025-01-01T02:00:00,73.89,day_ahead
north,2025-01-01T03:00:00,64.92,day_ahead
centre,2025-01-01T03:00:00,61.42,day_ahead
south,2025-01-01T03:00:00,67.61,day_ahead
north,2025-01-01T04:00:00,54.28,day_ahead
centre,2025-01-01T04:00:00,56.82,day_ahead
south,2025-01-01T04:00:00,60.80,day_ahead
north,2025-01-01T05:00:00,58.37,day_ahead
centre,2025-01-01T05:00:00,47.69,day_ahead
south,2025-01-01T05:00:00,53.16,day_ahead
north,2025-01-01T06:00:00,61.19,day_ahead
centre,2025-01-01T06:00:00,53.94,day_ahead
south,2025-01-01T06:00:00,54.58,day_ahead
north,2025-01-01T07:00:00,54.04,day_ahead
centre,2025-01-01T07:00:00,45.63,day_ahead
south,2025-01-01T07:00:00,55.07,day_ahead
north,2025-01-01T08:00:00,58.55,day_ahead
centre,2025-01-01T08:00:00,62.16,day_ahead
south,2025-01-01T08:00:00,63.09,day_ahead
north,2025-01-01T09:00:00,73.02,day_ahead
centre,2025-01-01T09:00:00,55.79,day_ahead
south,2025-01-01T09:00:00,67.67,day_ahead
north,2025-01-01T10:00:00,69.11,day_ahead
centre,2025-01-01T10:00:00,70.15,day_ahead
south,2025-01-01T10:00:00,66.59,day_ahead
north,2025-01-01T11:00:00,81.14,day_ahead
centre,2025-01-01T11:00:00,69.58,day_ahead
south,2025-01-01T11:00:00,75.61,day_ahead
north,2025-01-01T12:00:00,76.02,day_ahead
centre,2025-01-01T12:00:00,76.41,day_ahead
south,2025-01-01T12:00:00,84.70,day_ahead
north,2025-01-01T13:00:00,69.99,day_ahead
centre,2025-01-01T13:00:00,80.28,day_ahead
south,2025-01-01T13:00:00,68.22,day_ahead
north,2025-01-01T14:00:00,75.45,day_ahead
centre,2025-01-01T14:00:00,72.80,day_ahead
south,2025-01-01T14:00:00,68.89,day_ahead
north,2025-01-01T15:00:00,57.04,day_ahead
centre,2025-01-01T15:00:00,58.12,day_ahead
south,2025-01-01T15:00:00,62.43,day_ahead
north,2025-01-01T16:00:00,52.38,day_ahead
centre,2025-01-01T16:00:00,64.95,day_ahead
south,2025-01-01T16:00:00,57.68,day_ahead
north,2025-01-01T17:00:00,59.39,day_ahead
centre,2025-01-01T17:00:00,51.36,day_ahead
south,2025-01-01T17:00:00,50.46,day_ahead
north,2025-01-01T18:00:00,50.41,day_ahead
centre,2025-01-01T18:00:00,51.78,day_ahead
south,2025-01-01T18:00:00,59.83,day_ahead
north,2025-01-01T19:00:00,55.87,day_ahead
centre,2025-01-01T19:00:00,63.39,day_ahead
south,2025-01-01T19:00:00,50.78,day_ahead
north,2025-01-01T20:00:00,55.54,day_ahead
centre,2025-01-01T20:00:00,55.93,day_ahead
south,2025-01-01T20:00:00,55.42,day_ahead
north,2025-01-01T21:00:00,55.14,day_ahead
centre,2025-01-01T21:00:00,67.76,day_ahead
south,2025-01-01T21:00:00,67.87,day_ahead
north,2025-01-01T22:00:00,68.48,day_ahead
centre,2025-01-01T22:00:00,68.87,day_ahead
south,2025-01-01T22:00:00,64.54,day_ahead
north,2025-01-01T23:00:00,68.86,day_ahead
centre,2025-01-01T23:00:00,81.41,day_ahead
south,2025-01-01T23:00:00,75.96,day_ahead
