region,observed_ts,temperature_c,wind_speed_ms,solar_irradiance_wm2,humidity_pct
north,2025-01-01T00:00:00,1.42,5.92,0.0,42.7
centre,2025-01-01T00:00:00,2.40,3.51,0.0,72.8
south,2025-01-01T00:00:00,8.28,5.87,0.0,66.6
north,2025-01-01T01:00:00,1.60,2.87,0.0,78.5
centre,2025-01-01T01:00:00,2.71,8.62,0.0,68.1
south,2025-01-01T01:00:00,6.93,8.35,0.0,50.9
north,2025-01-01T02:00:00,0.81,3.65,0.0,63.3
centre,2025-01-01T02:00:00,2.50,8.45,0.0,58.0
south,2025-01-01T02:00:00,6.58,7.49,0.0,77.6
north,2025-01-01T03:00:00,0.67,5.28,0.0,70.3
centre,2025-01-01T03:00:00,2.11,5.96,0.0,72.8
south,2025-01-01T03:00:00,6.32,0.20,0.0,60.2
north,2025-01-01T04:00:00,2.67,5.80,0.0,86.9
centre,2025-01-01T04:00:00,4.12,0.85,0.0,72.3
south,2025-01-01T04:00:00,4.69,4.59,0.0,71.2
north,2025-01-01T05:00:00,1.22,1.32,0.0,64.5
centre,2025-01-01T05:00:00,3.37,7.36,0.0,58.3
south,2025-01-01T05:00:00,6.57,6.51,0.0,73.4
north,2025-01-01T06:00:00,1.49,4.75,0.0,70.0
centre,2025-01-01T06:00:00,4.07,7.44,0.0,72.0
south,2025-01-01T06:00:00,7.11,7.73,0.0,67.6
north,2025-01-01T07:00:00,1.15,7.82,199.4,62.5
centre,2025-01-01T07:00:00,5.73,6.45,139.1,76.0
south,2025-01-01T07:00:00,8.85,6.88,160.5,73.8
north,2025-01-01T08:00:00,4.53,4.96,374.1,66.3
centre,2025-01-01T08:00:00,5.57,2.49,251.0,63.9
south,2025-01-01T08:00:00,9.44,1.61,295.8,50.0
north,2025-01-01T09:00:00,4.71,5.27,548.0,42.5
centre,2025-01-01T09:00:00,6.47,7.13,356.8,74.8
south,2025-01-01T09:00:00,9.71,4.40,413.5,79.1
north,2025-01-01T10:00:00,4.44,5.47,639.8,74.6
centre,2025-01-01T10:00:00,8.71,3.65,432.8,63.9
south,2025-01-01T10:00:00,11.99,5.42,492.7,80.0
north,2025-01-01T11:00:00,7.34,4.07,713.0,99.6
centre,2025-01-01T11:00:00,7.44,8.10,520.4,65.3
south,2025-01-01T11:00:00,13.32,6.39,575.1,65.9
north,2025-01-01T12:00:00,9.30,4.59,765.7,48.4
centre,2025-01-01T12:00:00,10.68,7.99,488.0,80.6
south,2025-01-01T12:00:00,11.75,3.02,583.9,63.8
north,2025-01-01T13:00:00,9.43,2.45,703.1,78.0
centre,2025-01-01T13:00:00,11.05,2.87,513.0,67.5
south,2025-01-01T13:00:00,15.22,9.51,548.5,84.8
north,2025-01-01T14:00:00,10.74,2.59,655.3,83.2
centre,2025-01-01T14:00:00,12.83,4.99,453.5,54.1
south,2025-01-01T14:00:00,15.36,6.09,519.1,80.3
north,2025-01-01T15:00:00,10.48,6.66,540.7,72.5
centre,2025-01-01T15:00:00,12.17,9.18,374.4,71.4
south,2025-01-01T15:00:00,14.95,7.53,405.0,49.2
north,2025-01-01T16:00:00,8.82,8.45,367.9,59.6
centre,2025-01-01T16:00:00,11.26,3.28,263.0,73.8
south,2025-01-01T16:00:00,14.95,2.26,285.6,50.7
north,2025-01-01T17:00:00,10.72,3.03,194.0,57.6
centre,2025-01-01T17:00:00,11.66,6.42,126.9,69.3
south,2025-01-01T17:00:00,14.63,8.11,152.2,87.5
north,2025-01-01T18:00:00,8.83,7.06,0.0,76.4
centre,2025-01-01T18:00:00,11.14,4.45,0.0,62.2
south,2025-01-01T18:00:00,14.97,4.50,0.0,74.3
north,2025-01-01T19:00:00,9.33,3.07,0.0,64.3
centre,2025-01-01T19:00:00,9.45,0.98,0.0,59.3
south,2025-01-01T19:00:00,11.70,4.98,0.0,57.9
north,2025-01-01T20:00:00,6.96,3.59,0.0,59.1
centre,2025-01-01T20:00:00,8.88,10.76,0.0,79.4
south,2025-01-01T20:00:00,11.46,6.04,0.0,85.2
north,2025-01-01T21:00:00,4.45,5.18,0.0,56.3
centre,2025-01-01T21:00:00,5.94,6.15,0.0,51.5
south,2025-01-01T21:00:00,9.79,4.44,0.0,78.8
north,2025-01-01T22:00:00,6.02,3.84,0.0,82.3
centre,2025-01-01T22:00:00,6.32,6.59,0.0,80.8
south,2025-01-01T22:00:00,9.85,6.36,0.0,59.2
north,2025-01-01T23:00:00,4.13,7.19,0.0,96.2
centre,2025-01-01T23:00:00,4.47,0.00,0.0,69.4
south,2025-01-01T23:00:00,8.29,6.45,0.0,47.7
